games,splits,score,wins,loses,draws
111000,3079,-237060,29264,61044,23771
111050,3080,-237165,29278,61073,23779
111100,3080,-237240,29292,61099,23789
111150,3083,-237330,29305,61127,23801
111200,3087,-237510,29318,61161,23808
111250,3087,-237710,29326,61192,23819
111300,3093,-237805,29341,61221,23831
111350,3093,-237860,29358,61245,23840
111400,3093,-237965,29372,61274,23847
111450,3094,-238005,29386,61298,23860
111500,3094,-238100,29402,61325,23867
111550,3098,-238210,29413,61353,23882
111600,3101,-238350,29424,61384,23893
111650,3103,-238415,29439,61407,23907
111700,3104,-238560,29451,61435,23918
111750,3107,-238635,29465,61461,23931
111800,3110,-238720,29482,61488,23940
111850,3111,-238870,29495,61519,23947
111900,3111,-238915,29509,61542,23960
111950,3112,-239040,29522,61572,23968
112000,3116,-239200,29532,61601,23983
112050,3116,-239395,29541,61631,23994
112100,3119,-239505,29552,61659,24008
112150,3119,-239640,29563,61688,24018
112200,3120,-239775,29573,61716,24031
112250,3123,-240050,29579,61751,24043
112300,3126,-240290,29589,61785,24052
112350,3126,-240470,29598,61815,24063
112400,3128,-240530,29617,61840,24071
112450,3129,-240625,29628,61868,24083
112500,3130,-240770,29640,61896,24094
112550,3130,-240870,29653,61922,24105
112600,3132,-240885,29667,61945,24120
112650,3135,-241110,29675,61977,24133
112700,3141,-241145,29691,62001,24149
112750,3144,-241335,29704,62033,24157
112800,3145,-241325,29722,62056,24167
112850,3146,-241395,29731,62084,24181
112900,3148,-241505,29742,62112,24194
112950,3148,-241685,29752,62140,24206
113000,3148,-241805,29764,62170,24214
113050,3149,-241795,29783,62191,24225
113100,3156,-241860,29801,62217,24238
113150,3156,-241855,29818,62238,24250
113200,3157,-241930,29832,62264,24261
113250,3159,-242110,29846,62299,24264
113300,3162,-242235,29861,62328,24273
113350,3163,-242300,29875,62353,24285
113400,3163,-242380,29886,62375,24302
113450,3165,-242445,29898,62404,24313
113500,3165,-242480,29916,62427,24322
113550,3166,-242600,29934,62457,24325
113600,3167,-242645,29949,62481,24337
113650,3170,-242885,29957,62516,24347
113700,3171,-242960,29971,62542,24358
113750,3173,-243020,29982,62568,24373
113800,3173,-243160,29996,62596,24381
113850,3176,-243145,30012,62615,24399
113900,3177,-243300,30023,62643,24411
113950,3178,-243275,30041,62666,24421
114000,3180,-243280,30058,62691,24431
114050,3182,-243365,30074,62717,24441
114100,3185,-243485,30087,62745,24453
114150,3188,-243565,30101,62773,24464
114200,3191,-243650,30117,62799,24475
114250,3192,-243665,30133,62821,24488
114300,3192,-243770,30148,62848,24496
114350,3197,-243735,30166,62870,24511
114400,3198,-243890,30177,62898,24523
114450,3199,-243850,30197,62920,24532
114500,3200,-243910,30209,62944,24547
114550,3201,-244090,30218,62977,24556
114600,3201,-244275,30229,63008,24564
114650,3202,-244390,30241,63039,24572
114700,3203,-244445,30254,63062,24587
114750,3203,-244570,30267,63089,24597
114800,3204,-244765,30277,63120,24607
114850,3206,-244880,30286,63145,24625
114900,3206,-244885,30304,63168,24634
114950,3206,-244875,30320,63189,24647
115000,3209,-245085,30330,63223,24656
115050,3211,-245085,30349,63248,24664
115100,3212,-245240,30362,63278,24672
115150,3213,-245325,30376,63305,24682
115200,3213,-245455,30390,63332,24691
115250,3214,-245690,30398,63365,24701
115300,3215,-245900,30406,63397,24712
115350,3215,-246005,30418,63424,24723
115400,3217,-246110,30431,63452,24734
115450,3218,-246220,30444,63479,24745
115500,3218,-246385,30456,63509,24753
115550,3218,-246445,30471,63533,24764
115600,3220,-246470,30490,63556,24774
115650,3226,-246555,30506,63582,24788
115700,3226,-246600,30518,63606,24802
115750,3227,-246665,30534,63633,24810
115800,3227,-246860,30544,63664,24819
115850,3228,-247010,30556,63694,24828
115900,3231,-247050,30574,63719,24838
115950,3231,-247185,30587,63750,24844
116000,3234,-247345,30598,63780,24856
116050,3237,-247465,30611,63808,24868
116100,3238,-247630,30622,63840,24876
116150,3240,-247850,30633,63873,24884
116200,3242,-247975,30643,63900,24899
116250,3242,-248055,30660,63925,24907
116300,3244,-248095,30670,63948,24926
116350,3244,-248225,30684,63978,24932
116400,3246,-248440,30695,64012,24939
116450,3249,-248495,30709,64039,24951
116500,3256,-248645,30721,64069,24966
116550,3258,-248790,30729,64099,24980
116600,3259,-248835,30748,64124,24987
116650,3261,-248945,30760,64153,24998
116700,3261,-248955,30776,64176,25009
116750,3264,-249035,30791,64205,25018
116800,3266,-249235,30798,64238,25030
116850,3268,-249265,30813,64259,25046
116900,3269,-249425,30823,64288,25058
116950,3270,-249530,30835,64315,25070
117000,3271,-249665,30845,64346,25080
117050,3276,-249825,30856,64376,25094
117100,3277,-249920,30874,64405,25098
117150,3279,-250215,30880,64442,25107
117200,3279,-250470,30887,64476,25116
117250,3283,-250615,30902,64507,25124
117300,3283,-250760,30912,64536,25135
117350,3285,-250870,30926,64564,25145
117400,3285,-250815,30943,64583,25159
117450,3286,-250890,30955,64610,25171
117500,3294,-251110,30966,64643,25185
117550,3298,-251155,30977,64666,25205
117600,3300,-251190,30994,64691,25215
117650,3301,-251350,31006,64722,25223
117700,3304,-251355,31024,64745,25235
117750,3304,-251365,31042,64770,25242
117800,3305,-251415,31057,64796,25252
117850,3306,-251525,31072,64825,25259
117900,3309,-251570,31085,64850,25274
117950,3310,-251700,31096,64880,25284
118000,3310,-251790,31109,64905,25296
118050,3312,-251805,31122,64927,25313
118100,3316,-251780,31146,64950,25320
118150,3316,-251865,31157,64977,25332
118200,3316,-251900,31172,64997,25347
118250,3318,-252015,31184,65025,25359
118300,3319,-252030,31201,65045,25373
118350,3322,-252165,31213,65075,25384
118400,3324,-252285,31227,65107,25390
118450,3324,-252345,31239,65131,25404
118500,3325,-252395,31256,65156,25413
118550,3329,-252460,31271,65185,25423
118600,3331,-252460,31290,65207,25434
118650,3333,-252500,31305,65232,25446
118700,3334,-252580,31322,65260,25452
118750,3335,-252670,31335,65288,25462
118800,3336,-252760,31348,65313,25475
118850,3337,-252825,31360,65339,25488
118900,3338,-252950,31374,65367,25497
118950,3341,-253120,31384,65400,25507
119000,3345,-253135,31402,65424,25519
119050,3346,-253165,31418,65446,25532
119100,3346,-253265,31431,65472,25543
119150,3348,-253430,31441,65503,25554
119200,3348,-253425,31457,65523,25568
119250,3353,-253465,31474,65550,25579
119300,3355,-253535,31490,65576,25589
119350,3358,-253670,31503,65607,25598
119400,3358,-253805,31513,65635,25610
119450,3358,-253940,31527,65664,25617
119500,3358,-254165,31535,65696,25627
119550,3358,-254275,31549,65724,25635
119600,3359,-254280,31564,65744,25651
119650,3360,-254495,31575,65778,25657
119700,3362,-254500,31595,65800,25667
119750,3364,-254630,31611,65829,25674
119800,3364,-254690,31626,65853,25685
119850,3365,-254815,31636,65880,25699
119900,3365,-254950,31646,65908,25711
119950,3365,-255030,31659,65938,25718
120000,3365,-255275,31668,65973,25724
120050,3368,-255400,31680,65999,25739
120100,3368,-255480,31695,66025,25748
120150,3370,-255620,31705,66055,25760
120200,3371,-255630,31721,66078,25772
120250,3371,-255645,31739,66099,25783
120300,3372,-255720,31753,66125,25794
120350,3372,-255805,31766,66151,25805
120400,3373,-256005,31775,66183,25815
120450,3375,-256080,31792,66209,25824
120500,3379,-256230,31800,66238,25841
120550,3379,-256365,31814,66267,25848
120600,3379,-256435,31825,66294,25860
120650,3380,-256490,31844,66320,25866
120700,3380,-256595,31855,66346,25879
120750,3382,-256730,31868,66377,25887
120800,3386,-256775,31885,66403,25898
120850,3390,-257035,31894,66438,25908
120900,3391,-257080,31914,66464,25913
120950,3392,-257330,31921,66499,25922
121000,3394,-257495,31933,66529,25932
121050,3395,-257710,31943,66562,25940
121100,3397,-257835,31957,66593,25947
121150,3401,-257830,31975,66615,25961
121200,3405,-257925,31989,66640,25976
121250,3407,-258025,32004,66665,25988
121300,3411,-258035,32021,66689,26001
121350,3411,-258075,32037,66715,26009
121400,3411,-258130,32050,66741,26020
121450,3411,-258155,32062,66763,26036
121500,3411,-258250,32076,66791,26044
121550,3412,-258450,32088,66823,26051
121600,3412,-258590,32100,66852,26060
121650,3413,-258710,32116,66880,26067
121700,3419,-258925,32127,66914,26078
121750,3420,-259025,32141,66941,26088
121800,3421,-259140,32153,66966,26102
121850,3422,-259350,32162,66999,26111
